,Имя покупателя,Дата выдачи,сумма займа,процент годовых,название банка
11402,Поляков Владимир,2020-4-21,3900,7.0,Инвестбанк
11403,Гусева София,2018-5-10,15800,1.0,ВАШ БАНК
11404,Юдин Михаил,2018-5-6,1800,9.0,Инвестбанк
11405,Афанасьева Мария,2020-8-8,500,10.0,Инвестбанк
11406,Мешкова Мария,2022-8-27,38000,0.5,Стальстрой банк
11407,Федоров Роман,2021-11-5,2600,8.0,РосТоргПром банк
11408,Прохорова Мария,2019-10-18,39000,0.5,Стальстрой банк
11409,Соколова Вероника,2022-1-15,1300,9.0,РосТоргПром банк
11410,Белов Никита,2022-12-2,1500,9.0,Инвестбанк
11411,Фирсова Ульяна,2019-2-9,1700,9.0,РосТоргПром банк
11412,Серов Максим,2020-5-16,16500,1.0,ВАШ БАНК
11413,Носова Анна,2022-9-9,4900,6.0,РосТоргПром банк
11414,Сидоров Ярослав,2018-4-25,2300,8.0,РосТоргПром банк
11415,Хомяков Олег,2019-2-17,10300,2.0,ВАШ БАНК
11416,Карасев Иван,2020-3-15,15400,1.0,ВАШ БАНК
11417,Крючкова Алиса,2020-1-28,2300,8.0,Инвестбанк
11418,Морозов Матвей,2021-1-9,15800,1.0,ВАШ БАНК
11419,Львова Кристина,2022-5-13,800,10.0,РосТоргПром банк
11420,Русанова Майя,2021-11-27,500,10.0,Инвестбанк
11421,Гришин Артём,2018-2-28,41000,0.5,Стальстрой банк
11422,Смирнов Никита,2020-1-19,2600,8.0,Инвестбанк
11423,Короткова Альбина,2020-2-19,1600,9.0,Инвестбанк
11424,Гришина Светлана,2018-2-11,11000,2.0,ВАШ БАНК
11425,Медведева Анастасия,2022-3-18,10200,2.0,ВАШ БАНК
11426,Александрова Арина,2022-7-3,13600,2.0,ВАШ БАНК
11427,Белов Никита,2019-12-9,1200,9.0,РосТоргПром банк
11428,Белоусова Анна,2019-5-3,18400,1.0,ВАШ БАНК
11429,Павлов Лев,2021-12-26,600,10.0,РосТоргПром банк
11430,Гуляев Олег,2020-1-12,45000,0.5,Стальстрой банк
11431,Власов Владислав,2022-9-24,4700,6.0,РосТоргПром банк
11432,Комаров Роман,2019-5-27,11200,2.0,ВАШ БАНК
11433,Кириллов Тимофей,2021-5-25,1300,9.0,Инвестбанк
11434,Куприянова Василиса,2021-10-21,32000,0.5,Стальстрой банк
11435,Егорова Вероника,2019-8-25,34000,0.5,Стальстрой банк
11436,Туманов Владимир,2022-5-23,35000,0.5,Стальстрой банк
11437,Павлов Лев,2018-12-22,35000,0.5,Стальстрой банк
11438,Морозов Арсений,2022-1-25,2500,8.0,Инвестбанк
11439,Матвеева Ксения,2018-10-15,29000,0.5,Стальстрой банк
11440,Авдеева Василиса,2021-5-13,1700,9.0,Инвестбанк
11441,Грачева Алиса,2018-9-27,4600,6.0,Инвестбанк
11442,Сидорова Полина,2020-11-15,15000,2.0,ВАШ БАНК
11443,Беляев Игорь,2018-9-20,2600,8.0,РосТоргПром банк
11444,Кулакова Вероника,2018-5-19,4700,6.0,РосТоргПром банк
11445,Богданов Давид,2021-5-24,1500,9.0,РосТоргПром банк
11446,Воронин Матвей,2018-9-26,15200,1.0,ВАШ БАНК
11447,Матвеева София,2022-1-2,48000,0.5,Стальстрой банк
11448,Медведева Анастасия,2019-10-26,4100,6.0,Инвестбанк
11449,Соловьева Алиса,2022-6-15,1600,9.0,Инвестбанк
11450,Некрасов Максим,2018-12-20,1900,9.0,РосТоргПром банк
11451,Белов Никита,2019-4-17,27000,0.5,Стальстрой банк
11452,Софронов Илья,2020-6-13,14900,2.0,ВАШ БАНК
11453,Зуев Евгений,2019-2-4,30000,0.5,Стальстрой банк
11454,Иванова Дарья,2018-7-24,900,10.0,РосТоргПром банк
11455,Поляков Владимир,2019-7-14,1000,10.0,РосТоргПром банк
11456,Архипова Майя,2021-5-8,8500,3.0,ВАШ БАНК
11457,Русанова Майя,2022-7-14,3100,7.0,РосТоргПром банк
11458,Иванова Анна,2021-4-2,17700,1.0,ВАШ БАНК
11459,Петрова Александра,2018-8-19,34000,0.5,Стальстрой банк
11460,Любимова Полина,2018-1-11,2200,8.0,РосТоргПром банк
11461,Прохорова Мария,2020-1-26,17000,1.0,ВАШ БАНК
11462,Зайцева Софья,2020-3-28,43000,0.5,Стальстрой банк
11463,Лосев Богдан,2021-3-24,1900,9.0,Инвестбанк
11464,Иванова Яна,2021-3-1,3100,7.0,Инвестбанк
11465,Волков Владислав,2020-8-28,19700,1.0,ВАШ БАНК
11466,Орлов Семён,2018-6-26,46000,0.5,Стальстрой банк
11467,Носова Анна,2021-2-21,4100,6.0,РосТоргПром банк
11468,Тихонова Юлия,2020-3-5,2900,8.0,Инвестбанк
11469,Савельева София,2022-11-22,37000,0.5,Стальстрой банк
11470,Князев Ярослав,2020-11-21,16400,1.0,ВАШ БАНК
11471,Михайлов Виктор,2021-2-18,11600,2.0,ВАШ БАНК
11472,Винокурова Софья,2022-4-20,4700,6.0,Инвестбанк
11473,Кулакова Марьям,2022-9-9,17900,1.0,ВАШ БАНК
11474,Тарасов Тимофей,2021-1-18,8900,3.0,ВАШ БАНК
11475,Воронин Ибрагим,2022-9-25,14500,2.0,ВАШ БАНК
11476,Кулагина Василиса,2019-12-1,14300,2.0,ВАШ БАНК
11477,Хомяков Олег,2022-3-2,9100,3.0,ВАШ БАНК
11478,Федоров Роман,2018-3-14,2500,8.0,Инвестбанк
11479,Поляков Павел,2018-3-1,1400,9.0,Инвестбанк
11480,Щербаков Демид,2020-10-7,46000,0.5,Стальстрой банк
11481,Гришина Светлана,2018-11-26,16000,1.0,ВАШ БАНК
11482,Демидов Артур,2020-1-3,36000,0.5,Стальстрой банк
11483,Грачева Алиса,2019-1-1,4700,6.0,Инвестбанк
11484,Беляев Игорь,2021-10-2,3900,7.0,РосТоргПром банк
11485,Власов Владислав,2018-8-2,3100,7.0,РосТоргПром банк
11486,Фомичев Николай,2018-1-19,17300,1.0,ВАШ БАНК
11487,Медведева Анастасия,2019-7-11,4600,6.0,РосТоргПром банк
11488,Зотов Артемий,2020-6-22,35000,0.5,Стальстрой банк
11489,Копылова Валерия,2022-4-28,38000,0.5,Стальстрой банк
11490,Куликов Фёдор,2019-7-23,48000,0.5,Стальстрой банк
11491,Фокина Кристина,2019-8-8,3000,8.0,РосТоргПром банк
11492,Морозов Матвей,2020-4-16,32000,0.5,Стальстрой банк
11493,Ананьев Лев,2018-8-24,2300,8.0,Инвестбанк
11494,Богданов Давид,2022-10-7,3700,7.0,РосТоргПром банк
11495,Авдеева Василиса,2019-1-3,10600,2.0,ВАШ БАНК
11496,Филатова Алиса,2020-5-16,19600,1.0,ВАШ БАНК
11497,Смирнова Олеся,2021-3-6,43000,0.5,Стальстрой банк
11498,Медведев Георгий,2020-8-7,38000,0.5,Стальстрой банк
11499,Чернов Артемий,2021-10-10,11100,2.0,ВАШ БАНК
11500,Власов Илья,2021-3-21,13600,2.0,ВАШ БАНК
11501,Малышев Артур,2021-10-18,44000,0.5,Стальстрой банк
11502,Потапов Николай,2022-10-24,36000,0.5,Стальстрой банк
11503,Русанова Майя,2021-1-22,19700,1.0,ВАШ БАНК
11504,Власов Владислав,2020-11-12,800,10.0,РосТоргПром банк
11505,Тимофеева Кира,2022-5-24,3600,7.0,Инвестбанк
11506,Воронин Ибрагим,2022-9-2,36000,0.5,Стальстрой банк
11507,Рыжов Алексей,2022-11-10,4500,6.0,Инвестбанк
11508,Сорокина Кира,2018-6-8,500,10.0,РосТоргПром банк
11509,Богданов Давид,2021-10-1,1900,9.0,Инвестбанк
11510,Горелова Маргарита,2019-7-10,1600,9.0,Инвестбанк
11511,Куликов Фёдор,2020-6-17,1400,9.0,Инвестбанк
11512,Михайлов Михаил,2020-7-27,43000,0.5,Стальстрой банк
11513,Головин Олег,2020-1-27,4600,6.0,РосТоргПром банк
11514,Васильев Максим,2022-7-5,2800,8.0,РосТоргПром банк
11515,Спиридонов Георгий,2018-8-18,2900,8.0,РосТоргПром банк
11516,Медведев Георгий,2020-7-9,48000,0.5,Стальстрой банк
11517,Давыдов Матвей,2021-10-12,4900,6.0,РосТоргПром банк
11518,Васильев Фёдор,2019-10-6,19100,1.0,ВАШ БАНК
11519,Сидорова Ксения,2021-12-23,47000,0.5,Стальстрой банк
11520,Павлов Владимир,2019-8-17,35000,0.5,Стальстрой банк
11521,Алексеева Елизавета,2019-8-3,4300,6.0,Инвестбанк
11522,Гончаров Иван,2020-10-1,3700,7.0,РосТоргПром банк
11523,Евдокимова Амелия,2022-2-1,4900,6.0,РосТоргПром банк
11524,Новиков Егор,2018-6-21,4200,6.0,Инвестбанк
11525,Чернова Евгения,2018-5-2,17700,1.0,ВАШ БАНК
11526,Сидорова Полина,2020-10-13,40000,0.5,Стальстрой банк
11527,Ковалев Иван,2021-11-19,4000,7.0,РосТоргПром банк
11528,Куликова Диана,2022-5-1,500,10.0,РосТоргПром банк
11529,Сидорова Ксения,2018-7-25,3100,7.0,РосТоргПром банк
11530,Давыдова София,2020-1-6,17300,1.0,ВАШ БАНК
11531,Губанова Алина,2019-12-4,4200,6.0,РосТоргПром банк
11532,Поляков Владимир,2019-12-24,2100,8.0,РосТоргПром банк
11533,Щербаков Демид,2019-12-1,47000,0.5,Стальстрой банк
11534,Трифонова Виктория,2022-7-7,2800,8.0,Инвестбанк
11535,Фомина Анастасия,2019-2-7,2100,8.0,Инвестбанк
11536,Новиков Фёдор,2019-11-21,17100,1.0,ВАШ БАНК
11537,Морозов Арсений,2022-9-9,3500,7.0,РосТоргПром банк
11538,Шишкина Алёна,2022-3-13,900,10.0,РосТоргПром банк
11539,Кузнецова Стефания,2021-5-7,43000,0.5,Стальстрой банк
11540,Попов Степан,2022-3-27,1200,9.0,РосТоргПром банк
11541,Ананьев Лев,2019-9-16,48000,0.5,Стальстрой банк
11542,Иванов Тимофей,2018-2-8,1300,9.0,Инвестбанк
11543,Артемова София,2018-12-16,10700,2.0,ВАШ БАНК
11544,Голубева Вероника,2022-5-8,2300,8.0,Инвестбанк
11545,Белоусова Анна,2018-8-16,4600,6.0,Инвестбанк
11546,Смирнов Герман,2022-9-15,3200,7.0,РосТоргПром банк
11547,Петрова Александра,2020-8-13,30000,0.5,Стальстрой банк
11548,Смирнова Валерия,2018-3-10,29000,0.5,Стальстрой банк
11549,Басов Иван,2022-8-24,2900,8.0,РосТоргПром банк
11550,Миронова Стефания,2018-9-27,14800,2.0,ВАШ БАНК
11551,Львова Кристина,2022-7-15,4900,6.0,РосТоргПром банк
11552,Соловьев Михаил,2021-11-3,10500,2.0,ВАШ БАНК
11553,Новикова Дарья,2022-11-12,31000,0.5,Стальстрой банк
11554,Русанова Майя,2022-9-8,16300,1.0,ВАШ БАНК
11555,Карасев Кирилл,2021-5-4,4000,7.0,Инвестбанк
11556,Любимова Полина,2022-2-24,4200,6.0,РосТоргПром банк
11557,Головин Олег,2018-10-6,34000,0.5,Стальстрой банк
11558,Михайлов Илья,2019-8-14,2300,8.0,РосТоргПром банк
11559,Михеева Екатерина,2018-7-13,900,10.0,РосТоргПром банк
11560,Степанов Леонид,2020-8-6,4000,7.0,РосТоргПром банк
11561,Родионов Мирослав,2022-8-5,10500,2.0,ВАШ БАНК
11562,Некрасова Вера,2021-6-11,15300,1.0,ВАШ БАНК
11563,Смирнов Никита,2020-11-6,17900,1.0,ВАШ БАНК
11564,Некрасова Вера,2022-2-22,11900,2.0,ВАШ БАНК
11565,Грачев Максим,2021-11-22,3000,8.0,РосТоргПром банк
11566,Еремина Сабина,2019-5-14,700,10.0,РосТоргПром банк
11567,Давыдова София,2018-10-1,13500,2.0,ВАШ БАНК
11568,Сухарева Малика,2021-11-15,3500,7.0,Инвестбанк
11569,Тарасов Тимофей,2021-7-6,13800,2.0,ВАШ БАНК
11570,Козлова Виктория,2018-9-18,34000,0.5,Стальстрой банк
11571,Филиппов Олег,2021-6-7,41000,0.5,Стальстрой банк
11572,Пирогова София,2018-12-4,25000,0.5,Стальстрой банк
11573,Кольцов Андрей,2018-7-17,13200,2.0,ВАШ БАНК
11574,Алексеева Елизавета,2018-5-19,41000,0.5,Стальстрой банк
11575,Попов Степан,2021-2-2,37000,0.5,Стальстрой банк
11576,Васильева Ксения,2018-12-22,3000,8.0,Инвестбанк
11577,Михайлов Михаил,2018-1-9,2700,8.0,Инвестбанк
11578,Васильев Лев,2020-2-15,32000,0.5,Стальстрой банк
11579,Зотов Артемий,2022-4-28,1100,9.0,РосТоргПром банк
11580,Григорьев Ярослав,2022-12-6,3400,7.0,Инвестбанк
11581,Лобанов Роман,2021-1-4,600,10.0,Инвестбанк
11582,Романова Евгения,2019-7-19,800,10.0,Инвестбанк
11583,Жукова Милана,2021-4-4,42000,0.5,Стальстрой банк
11584,Смирнова Ксения,2020-1-21,2600,8.0,Инвестбанк
11585,Иванов Алексей,2018-1-1,1300,9.0,РосТоргПром банк
11586,Головин Олег,2019-1-12,1200,9.0,Инвестбанк
11587,Грачев Максим,2021-5-25,17300,1.0,ВАШ БАНК
11588,Никитин Елисей,2019-3-4,4000,7.0,РосТоргПром банк
11589,Трошина Лидия,2020-3-7,41000,0.5,Стальстрой банк
11590,Комарова Аиша,2018-12-6,4300,6.0,РосТоргПром банк
11591,Фокина Кристина,2019-4-5,12500,2.0,ВАШ БАНК
11592,Муратова Дарья,2019-4-11,12000,2.0,ВАШ БАНК
11593,Матвеев Александр,2020-12-2,11200,2.0,ВАШ БАНК
11594,Егоров Иван,2019-1-19,11900,2.0,ВАШ БАНК
11595,Головин Олег,2020-11-6,4200,6.0,РосТоргПром банк
11596,Борисов Тимофей,2019-10-18,4600,6.0,РосТоргПром банк
11597,Жукова Ева,2019-10-18,1700,9.0,РосТоргПром банк
11598,Михайлов Михаил,2018-12-22,43000,0.5,Стальстрой банк
11599,Никитин Елисей,2019-12-6,1200,9.0,Инвестбанк
11600,Еремина Сабина,2021-7-13,3100,7.0,Инвестбанк
11601,Кулакова Марьям,2022-11-24,3700,7.0,Инвестбанк
11602,Матвеева Миа,2020-12-13,1700,9.0,Инвестбанк
11603,Смирнова Ксения,2019-11-22,1900,9.0,РосТоргПром банк
11604,Серов Максим,2018-10-24,3800,7.0,Инвестбанк
11605,Сомов Ярослав,2018-10-11,4400,6.0,Инвестбанк
11606,Краснов Михаил,2022-3-9,3400,7.0,Инвестбанк
11607,Шувалова Елизавета,2022-11-10,12200,2.0,ВАШ БАНК
11608,Васильева Ксения,2021-4-24,900,10.0,Инвестбанк
11609,Новиков Егор,2022-1-4,25000,0.5,Стальстрой банк
11610,Беляев Игорь,2021-10-11,3100,7.0,Инвестбанк
11611,Ситников Матвей,2022-5-18,4200,6.0,Инвестбанк
11612,Кузнецова Марина,2019-12-5,3200,7.0,РосТоргПром банк
11613,Ильинский Иван,2018-8-12,44000,0.5,Стальстрой банк
11614,Медведев Мирон,2022-3-2,2700,8.0,Инвестбанк
11615,Павлова Нина,2020-1-16,35000,0.5,Стальстрой банк
11616,Куликов Фёдор,2021-3-15,2300,8.0,Инвестбанк
11617,Муратова Дарья,2020-6-10,39000,0.5,Стальстрой банк
11618,Любимова Полина,2022-1-15,9500,3.0,ВАШ БАНК
11619,Горелова Маргарита,2021-1-6,2500,8.0,РосТоргПром банк
11620,Сомов Ярослав,2019-10-3,9600,3.0,ВАШ БАНК
11621,Хомяков Олег,2020-8-10,8100,3.0,ВАШ БАНК
11622,Куликова Виктория,2021-11-24,36000,0.5,Стальстрой банк
11623,Фомина Анастасия,2019-7-23,3400,7.0,Инвестбанк
11624,Фадеев Егор,2018-1-1,16400,1.0,ВАШ БАНК
11625,Михайлов Илья,2022-12-6,46000,0.5,Стальстрой банк
11626,Филатова Алиса,2022-8-18,3300,7.0,Инвестбанк
11627,Морозова Полина,2021-12-19,48000,0.5,Стальстрой банк
11628,Воронин Матвей,2021-2-12,37000,0.5,Стальстрой банк
11629,Горелова Кира,2020-5-3,18800,1.0,ВАШ БАНК
11630,Козлова Виктория,2019-2-8,43000,0.5,Стальстрой банк
11631,Сидоров Артём,2019-5-20,47000,0.5,Стальстрой банк
11632,Иванов Тимур,2021-9-28,3700,7.0,Инвестбанк
11633,Лобанов Кирилл,2020-12-28,4500,6.0,РосТоргПром банк
11634,Соловьев Сергей,2018-7-4,11200,2.0,ВАШ БАНК
11635,Иванов Илья,2019-8-18,500,10.0,РосТоргПром банк
11636,Куликова Виктория,2018-10-16,1000,10.0,Инвестбанк
11637,Щербаков Демид,2018-5-21,33000,0.5,Стальстрой банк
11638,Носова Анна,2020-5-24,1100,9.0,РосТоргПром банк
11639,Белов Никита,2022-7-19,1800,9.0,РосТоргПром банк
11640,Львова Кристина,2022-8-10,43000,0.5,Стальстрой банк
11641,Медведева Виктория,2022-7-20,46000,0.5,Стальстрой банк
11642,Чернова Евгения,2018-12-7,18300,1.0,ВАШ БАНК
11643,Титова Дарья,2022-5-16,3300,7.0,РосТоргПром банк
11644,Родионов Мирослав,2022-10-14,9700,3.0,ВАШ БАНК
11645,Горелова Кира,2021-10-21,10800,2.0,ВАШ БАНК
11646,Куликова Диана,2022-3-7,2000,9.0,Инвестбанк
11647,Смирнова Ксения,2022-1-15,4200,6.0,Инвестбанк
11648,Федоров Роман,2019-8-14,3600,7.0,Инвестбанк
11649,Коновалова Ирина,2022-12-17,1700,9.0,РосТоргПром банк
11650,Лазарев Григорий,2021-4-17,42000,0.5,Стальстрой банк
11651,Некрасов Максим,2018-4-23,12300,2.0,ВАШ БАНК
11652,Романова Мира,2022-11-18,15100,1.0,ВАШ БАНК
11653,Смирнов Герман,2019-3-15,41000,0.5,Стальстрой банк
11654,Поляков Владимир,2018-10-4,1000,10.0,РосТоргПром банк
11655,Фокин Андрей,2020-3-24,2400,8.0,Инвестбанк
11656,Розанова Ника,2022-8-5,12900,2.0,ВАШ БАНК
11657,Куликова Елизавета,2019-3-11,2600,8.0,РосТоргПром банк
11658,Авдеева Василиса,2021-9-4,1600,9.0,Инвестбанк
11659,Сидорова Вероника,2020-11-6,500,10.0,РосТоргПром банк
11660,Лобанов Кирилл,2022-9-20,500,10.0,Инвестбанк
11661,Ковалев Даниэль,2018-5-27,13700,2.0,ВАШ БАНК
11662,Морозов Матвей,2019-12-28,4300,6.0,РосТоргПром банк
11663,Васильев Максим,2018-10-18,19700,1.0,ВАШ БАНК
11664,Куликова Виктория,2019-2-2,3200,7.0,Инвестбанк
11665,Копылова Валерия,2022-6-15,47000,0.5,Стальстрой банк
11666,Горелова Маргарита,2020-11-27,42000,0.5,Стальстрой банк
11667,Фролов Иван,2021-10-16,15400,1.0,ВАШ БАНК
11668,Лосев Богдан,2018-8-19,4000,7.0,РосТоргПром банк
11669,Борисов Максим,2018-1-5,2900,8.0,Инвестбанк
11670,Соколова Елизавета,2018-12-8,1400,9.0,РосТоргПром банк
11671,Шишкина Алёна,2019-11-4,2300,8.0,Инвестбанк
11672,Лебедев Иван,2019-10-16,14600,2.0,ВАШ БАНК
11673,Зотов Артемий,2022-11-28,34000,0.5,Стальстрой банк
11674,Воронин Ибрагим,2022-10-23,40000,0.5,Стальстрой банк
11675,Сидорова Полина,2020-4-22,1200,9.0,Инвестбанк
11676,Уткин Марк,2020-8-27,12600,2.0,ВАШ БАНК
11677,Павлов Владимир,2018-11-9,3300,7.0,РосТоргПром банк
11678,Борисов Максим,2021-12-12,2700,8.0,РосТоргПром банк
11679,Соловьев Михаил,2020-5-23,34000,0.5,Стальстрой банк
11680,Губанова Алина,2021-8-14,4000,7.0,Инвестбанк
11681,Авдеева Василиса,2018-11-25,14100,2.0,ВАШ БАНК
11682,Ковалев Михаил,2018-11-23,12100,2.0,ВАШ БАНК
11683,Фомина Валерия,2019-3-8,1500,9.0,Инвестбанк
11684,Малышев Артур,2021-8-12,43000,0.5,Стальстрой банк
11685,Медведев Мирон,2021-9-13,37000,0.5,Стальстрой банк
11686,Комаров Роман,2018-4-1,8200,3.0,ВАШ БАНК
11687,Лосев Богдан,2018-10-13,9500,3.0,ВАШ БАНК
11688,Иванов Алексей,2018-11-1,11700,2.0,ВАШ БАНК
11689,Ситников Матвей,2022-4-10,1100,9.0,Инвестбанк
11690,Туманов Владимир,2021-7-17,9900,3.0,ВАШ БАНК
11691,Майоров Никита,2020-1-10,3000,8.0,РосТоргПром банк
11692,Крючкова Алиса,2019-7-6,500,10.0,Инвестбанк
11693,Трифонова Виктория,2019-1-13,3800,7.0,РосТоргПром банк
11694,Смирнова Полина,2020-8-21,1000,10.0,РосТоргПром банк
11695,Архипова Майя,2021-11-24,25000,0.5,Стальстрой банк
11696,Алексеева Мария,2018-10-25,45000,0.5,Стальстрой банк
11697,Глухова Надежда,2021-12-26,2400,8.0,Инвестбанк
11698,Прохорова Мария,2022-2-3,2900,8.0,РосТоргПром банк
11699,Соколова Алиса,2022-5-25,2900,8.0,РосТоргПром банк
11700,Воронин Ибрагим,2019-2-1,11500,2.0,ВАШ БАНК
11701,Павлов Владимир,2022-3-26,1500,9.0,РосТоргПром банк
11702,Шишкина Алёна,2019-5-16,19600,1.0,ВАШ БАНК
11703,Макаров Матвей,2019-11-16,9700,3.0,ВАШ БАНК
11704,Игнатьев Иван,2022-1-13,3900,7.0,РосТоргПром банк
11705,Логинов Дмитрий,2022-2-27,35000,0.5,Стальстрой банк
11706,Соловьев Михаил,2018-12-7,49000,0.5,Стальстрой банк
11707,Ананьев Лев,2022-7-13,11700,2.0,ВАШ БАНК
11708,Смирнова Полина,2019-2-4,17800,1.0,ВАШ БАНК
11709,Нефедов Дмитрий,2020-9-19,8600,3.0,ВАШ БАНК
11710,Данилова Александра,2020-3-2,4100,6.0,Инвестбанк
11711,Русанова Майя,2021-9-13,3000,8.0,Инвестбанк
11712,Егорова София,2020-2-22,3200,7.0,Инвестбанк
11713,Соколова Алиса,2020-2-13,1800,9.0,РосТоргПром банк
11714,Трифонова Виктория,2019-1-21,4900,6.0,РосТоргПром банк
11715,Белов Никита,2018-9-9,8300,3.0,ВАШ БАНК
11716,Соколов Илья,2020-6-5,1500,9.0,РосТоргПром банк
11717,Голубева Алиса,2020-2-6,38000,0.5,Стальстрой банк
11718,Алексеев Роман,2022-1-6,4500,6.0,РосТоргПром банк
11719,Григорьев Ярослав,2019-11-28,4700,6.0,Инвестбанк
11720,Михайлов Виктор,2021-2-13,4800,6.0,Инвестбанк
11721,Горшкова Екатерина,2018-5-16,900,10.0,Инвестбанк
11722,Морозов Арсений,2019-5-4,10700,2.0,ВАШ БАНК
11723,Краснов Михаил,2020-10-25,43000,0.5,Стальстрой банк
11724,Киселева Варвара,2019-5-15,18500,1.0,ВАШ БАНК
11725,Жданов Андрей,2019-8-5,14200,2.0,ВАШ БАНК
11726,Белов Никита,2019-4-12,42000,0.5,Стальстрой банк
11727,Лосев Богдан,2022-2-13,1800,9.0,Инвестбанк
11728,Кольцов Андрей,2019-1-28,47000,0.5,Стальстрой банк
11729,Семенов Артём,2018-6-18,18800,1.0,ВАШ БАНК
11730,Ананьев Лев,2020-2-22,1500,9.0,Инвестбанк
11731,Карасев Иван,2019-4-4,500,10.0,РосТоргПром банк
11732,Морозов Арсений,2019-1-21,18000,1.0,ВАШ БАНК
11733,Булгаков Роман,2021-10-28,800,10.0,РосТоргПром банк
11734,Сомов Ярослав,2019-11-7,16100,1.0,ВАШ БАНК
11735,Глухова Надежда,2019-8-11,11500,2.0,ВАШ БАНК
11736,Морозов Семён,2021-3-2,28000,0.5,Стальстрой банк
11737,Муратова Дарья,2022-5-11,3800,7.0,РосТоргПром банк
11738,Сидорова Полина,2021-11-24,2700,8.0,Инвестбанк
11739,Соколова Алиса,2019-6-7,29000,0.5,Стальстрой банк
11740,Щербаков Демид,2019-12-9,10200,2.0,ВАШ БАНК
11741,Макаров Матвей,2018-7-24,46000,0.5,Стальстрой банк
11742,Лобанов Роман,2018-10-18,19200,1.0,ВАШ БАНК
11743,Головин Олег,2018-5-4,15600,1.0,ВАШ БАНК
11744,Журавлев Давид,2022-5-2,30000,0.5,Стальстрой банк
11745,Малахов Тимофей,2018-1-1,17900,1.0,ВАШ БАНК
11746,Тихонова Юлия,2019-10-4,45000,0.5,Стальстрой банк
11747,Зорина Василиса,2022-1-12,2900,8.0,РосТоргПром банк
11748,Русанова Майя,2021-5-8,4500,6.0,РосТоргПром банк
11749,Носова Анна,2018-2-28,33000,0.5,Стальстрой банк
11750,Козловский Фёдор,2018-2-25,45000,0.5,Стальстрой банк
11751,Борисов Тимофей,2020-4-14,41000,0.5,Стальстрой банк
11752,Белов Артём,2021-8-12,10300,2.0,ВАШ БАНК
11753,Сидорова Вероника,2020-5-27,4200,6.0,РосТоргПром банк
11754,Чернышева Таисия,2022-2-8,1900,9.0,РосТоргПром банк
11755,Васильева Ксения,2018-8-28,1200,9.0,РосТоргПром банк
11756,Карасев Иван,2018-12-28,4900,6.0,РосТоргПром банк
11757,Фомина Анастасия,2020-1-1,13200,2.0,ВАШ БАНК
11758,Кузнецова Марина,2018-5-23,3500,7.0,Инвестбанк
11759,Грачева Алиса,2018-5-22,32000,0.5,Стальстрой банк
11760,Волошина Анна,2018-11-18,1000,10.0,Инвестбанк
11761,Борисов Тимофей,2021-4-9,16000,1.0,ВАШ БАНК
11762,Белов Никита,2022-1-27,1300,9.0,Инвестбанк
11763,Новикова Дарья,2018-5-21,2600,8.0,Инвестбанк
11764,Жданова Кира,2019-6-20,2500,8.0,РосТоргПром банк
11765,Степанова Виктория,2021-10-8,10200,2.0,ВАШ БАНК
11766,Матвеева Миа,2022-5-20,44000,0.5,Стальстрой банк
11767,Короткова Альбина,2020-4-24,1800,9.0,РосТоргПром банк
11768,Борисов Тимофей,2019-8-9,1800,9.0,Инвестбанк
11769,Тарасов Тимофей,2019-7-15,33000,0.5,Стальстрой банк
11770,Медведев Мирон,2021-6-9,15100,1.0,ВАШ БАНК
11771,Синицына Татьяна,2021-7-22,2600,8.0,Инвестбанк
11772,Иванова Анна,2018-2-14,4100,6.0,Инвестбанк
11773,Козлова Дарина,2019-7-10,3400,7.0,Инвестбанк
11774,Жукова Екатерина,2020-6-1,2000,9.0,Инвестбанк
11775,Новиков Егор,2020-9-4,3400,7.0,РосТоргПром банк
11776,Федоров Роман,2020-11-21,1100,9.0,Инвестбанк
11777,Куликова Елизавета,2019-8-22,1100,9.0,РосТоргПром банк
11778,Маркелова Софья,2021-10-12,18800,1.0,ВАШ БАНК
11779,Соловьев Сергей,2022-9-10,9700,3.0,ВАШ БАНК
11780,Короткова Альбина,2018-7-13,2500,8.0,РосТоргПром банк
11781,Медведева Виктория,2020-11-27,3800,7.0,Инвестбанк
11782,Белов Никита,2019-5-15,9300,3.0,ВАШ БАНК
11783,Павлова Нина,2020-3-8,45000,0.5,Стальстрой банк
11784,Кузин Иван,2020-10-18,3200,7.0,РосТоргПром банк
11785,Данилова Александра,2020-11-27,9000,3.0,ВАШ БАНК
11786,Горелова Маргарита,2019-8-22,1300,9.0,РосТоргПром банк
11787,Павлов Лев,2018-3-23,29000,0.5,Стальстрой банк
11788,Крылова Виктория,2020-9-3,1600,9.0,Инвестбанк
11789,Воронин Ибрагим,2019-5-17,4200,6.0,Инвестбанк
11790,Воронин Матвей,2021-4-25,4300,6.0,РосТоргПром банк
11791,Матвеева Ксения,2020-7-17,700,10.0,Инвестбанк
11792,Жукова Милана,2018-10-9,4200,6.0,Инвестбанк
11793,Голубева Алиса,2022-10-21,18500,1.0,ВАШ БАНК
11794,Кузнецова Стефания,2020-8-3,1000,10.0,Инвестбанк
11795,Зимин Николай,2022-2-18,17400,1.0,ВАШ БАНК
11796,Морозова Анна,2018-4-24,11500,2.0,ВАШ БАНК
11797,Федоров Роман,2018-11-12,3000,8.0,Инвестбанк
11798,Ананьев Лев,2022-2-3,29000,0.5,Стальстрой банк
